Cluster ID,confidence_score,﻿Id,Name
5,0.9999997726412878,75,看小说
14,0.9999997566650567,76,追剧
15,0.999999707998068,77,睡觉
6,0.9999997284879214,78,篮球
0,0.9999997076780658,79,美食
20,0.9999997087594824,80,游戏
15,0.999999707998068,81,睡觉
22,0.9999997019767761,82,小说
11,0.9999997214086692,83,电影
23,0.9999997,84,打王者
1,0.9999997095795214,85,音乐
0,0.9999997076780658,86,美食
11,0.9999997214086692,87,电影
22,0.9999997019767761,88,小说
18,0.9999997019767761,89,动漫
24,0.9999997615814209,90,日剧
25,0.9999997019767761,91,运动
5,0.9999997478223348,92,看书
20,0.9999997087594824,93,游戏
18,0.9999997019767761,94,动漫
26,0.9999997129060131,95,画画
11,0.9999997214086692,96,电影
1,0.9999997095795214,97,音乐
0,0.9999997076780658,98,美食
20,0.9999997087594824,99,游戏
27,0.9999997019767761,100,跳舞
1,0.9999997095795214,101,音乐
18,0.9999997019767761,102,动漫
0,0.9999997076780658,103,美食
15,0.999999707998068,104,睡觉
11,0.9999997214086692,105,电影
27,0.9999997019767761,106,跳舞
15,0.999999707998068,107,睡觉
1,0.9999997095795214,108,音乐
0,0.9999997076780658,109,美食
17,0.9999998211860657,110,书
16,0.9999997615814209,111,吃面包
15,0.999999707998068,112,睡觉
28,0.9999997,113,读书
5,0.9999997513693141,114,看电影
7,0.9999997743404568,115,玩游戏
6,0.9999997284879214,116,篮球
4,0.9999997343936314,117,听音乐
1,0.9999997095795214,118,音乐
24,0.9999997615814209,119,体育
15,0.999999707998068,120,睡觉
15,0.999999707998068,121,睡觉
11,0.9999997214086692,122,电影
22,0.9999997019767761,123,小说
15,0.999999707998068,124,睡觉??
29,0.9999997019767761,125,羽毛球
30,0.9999997204294347,126,摄影
31,0.9999998,127,在apex里重伤倒地
3,0.9999998,128,架子鼓
46,1.0,129,钢琴
26,0.9999997129060131,130,画画
27,0.9999997019767761,131,跳舞
18,0.9999997019767761,132,动漫
31,0.9999998,133,在美食上不能自已
7,0.9999997743404568,134,玩游戏
4,0.9999997343936314,135,听歌
47,1.0,136,配音
12,0.9999997356705925,137,乒乓球
29,0.9999997019767761,138,羽毛球
0,0.9999997076780658,139,美食
16,0.9999997892657575,140,吃瓜
1,0.9999997610301633,141,影视鉴赏
13,0.9999997401893769,142,手工
9,0.9999997019767761,143,阅读
26,0.9999997615814209,144,绘画
5,0.9999997777777686,145,看番
48,1.0,146,抽卡游戏
9,0.9999997019767761,147,阅读
0,0.9999997076780658,148,美食
20,0.9999997087594824,149,游戏
15,0.999999707998068,150,睡觉
1,0.9999997095795214,151,音乐
11,0.9999998093511243,152,电视剧
17,0.9999998211860657,153,吃
49,1.0,154,球类运动
0,0.9999997076780658,155,美食
5,0.9999997726412878,156,看小说
19,0.9999997019767761,157,跑步
9,0.9999997019767761,158,阅读
0,0.9999997076780658,159,美食
11,0.9999997214086692,160,电影
20,0.9999997087594824,161,游戏
21,0.9999997019767761,162,旅游
1,0.9999997095795214,163,音乐
30,0.9999997615814209,164,射箭
50,1.0,165,摩托车
51,1.0,166,摇滚乐
52,1.0,167,咖啡
15,0.999999707998068,168,睡觉
5,0.9999997478223348,169,看书
14,0.9999998211860657,170,桌游
53,1.0,171,未来想玩速降
0,0.9999997076780658,172,美食
21,0.9999997019767761,173,旅游
12,0.9999997356705925,174,乒乓球
20,0.9999997087594824,175,游戏
7,0.9999997743404568,176,网球
4,0.9999997343936314,177,听歌
54,1.0,178,遛弯儿
20,0.9999997087594824,179,游戏
22,0.9999997019767761,180,小说
20,0.9999997087594824,181,游戏
5,0.9999997513693141,182,看电影
55,1.0,183,魔方
6,0.9999997681923332,184,看球
56,1.0,185,game
57,1.0,186,学习
29,0.9999997019767761,187,羽毛球
7,0.9999997743404568,188,网球
5,0.9999997478223348,189,看书
5,0.9999997513693141,190,看电影
11,0.9999998093511243,191,电视剧
0,0.9999997076780658,192,美食
9,0.9999997019767761,193,阅读
58,1.0,194,心理学
0,0.9999997671360272,195,美妆
20,0.9999997615814209,196,游泳
28,0.9999997,197,读书
1,0.9999997095795214,198,音乐
20,0.9999997087594824,199,游戏
25,0.9999997019767761,200,运动
9,0.9999997019767761,201,阅读
1,0.9999998097763245,202,影视
13,0.9999997615814209,203,手帐
32,0.9999997485277282,204,骑行
9,0.9999997019767761,205,阅读
32,0.999999745717895,206,旅行
29,0.9999997019767761,207,羽毛球
30,0.9999997204294347,208,摄影
26,0.9999997129060131,209,画画
29,0.9999997019767761,210,羽毛球
23,0.9999997,211,打王者
5,0.9999997513693141,212,看电影
24,0.9999997615814209,213,积木
13,0.9999997615814209,214,手作
26,0.9999997129060131,215,画画
15,0.999999707998068,216,睡觉
32,0.9999997485277282,217,骑行
15,0.9999998211860657,218,刷b站
5,0.9999997726412878,219,看小说
6,0.9999997284879214,220,篮球
30,0.9999997204294347,221,摄影
32,0.999999745717895,222,旅行
32,0.9999997952513213,223,飞行
5,0.9999997513693141,224,看电影
19,0.9999997019767761,225,跑步
32,0.999999745717895,226,旅行
1,0.9999997095795214,227,音乐
9,0.9999997019767761,228,阅读
